Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
536	B02_allLanes_P	E01_allLanes_P	B05_plate21	070F	M-1-18	YH28_2	28	YX21_1	L	L28
561	B03_allLanes_P	H02_allLanes_P	B07_plate17	059S	H-1-15	YD98_2	43	YK83_1	Q	Q43
566	B03_allLanes_P	A01_allLanes_P	B08_plate01	012D	H-1-18	YI44_2	45	YK83_1	Q	Q45
571	B03_allLanes_P	H02_allLanes_P	B08_plate23	094E	H-1-18	YD98_2	43	YK83_1	Q	Q43
576	B03_allLanes_P	E08_allLanes_P	C08_plate04	012W	H-1-18	OL28_2	41	YK83_1	Q	Q41
586	B03_allLanes_P	E08_allLanes_P	C07_plate03	011O	H-1-15	OL28_2	41	YK83_1	Q	Q41
596	B03_allLanes_P	F01_allLanes_P	B09_plate25	095S	H-2-15	YD53_2	44	YK83_1	Q	Q44
601	B03_allLanes_P	H02_allLanes_P	B08_plate02	012J	H-1-18	YD98_2	43	YK83_1	Q	Q43
606	B03_allLanes_P	A01_allLanes_P	B07_plate10	043C	H-1-15	YI44_2	45	YK83_1	Q	Q45
611	B03_allLanes_P	A01_allLanes_P	B07_plate05	011Z	H-1-15	YI44_2	45	YK83_1	Q	Q45
626	B03_allLanes_P	F01_allLanes_P	B08_plate31	110Z	H-1-18	YD53_2	44	YK83_1	Q	Q44
631	B03_allLanes_P	H02_allLanes_P	B08_plate25	094Q	H-1-18	YD98_2	43	YK83_1	Q	Q43
636	B03_allLanes_P	H02_allLanes_P	B09_plate06	029J	H-2-15	YD98_2	43	YK83_1	Q	Q43
641	B03_allLanes_P	H02_allLanes_P	C07_plate25	093O	H-1-15	YD98_2	43	YK83_1	Q	Q43
646	B03_allLanes_P	H06_allLanes_P	C07_plate19	077F	H-1-15	OD43_2	42	YK83_1	Q	Q42
661	B03_allLanes_P	E08_allLanes_P	B08_plate13	044W	H-1-18	OL28_2	41	YK83_1	Q	Q41
671	B03_allLanes_P	H02_allLanes_P	B08_plate22	078Y	H-1-18	YD98_2	43	YK83_1	Q	Q43
686	B03_allLanes_P	H02_allLanes_P	B09_plate20	079O	H-2-15	YD98_2	43	YK83_1	Q	Q43
691	B03_allLanes_P	H02_allLanes_P	C07_plate09	027X	H-1-15	YD98_2	43	YK83_1	Q	Q43
701	B03_allLanes_P	H02_allLanes_P	B08_plate24	094K	H-1-18	YD98_2	43	YK83_1	Q	Q43
711	B03_allLanes_P	H02_allLanes_P	C07_plate05	027A	H-1-15	YD98_2	43	YK83_1	Q	Q43
726	B03_allLanes_P	F01_allLanes_P	C08_plate06	028I	H-1-18	YD53_2	44	YK83_1	Q	Q44
736	B03_allLanes_P	H02_allLanes_P	C07_plate26	093U	H-1-15	YD98_2	43	YK83_1	Q	Q43
756	B03_allLanes_P	H06_allLanes_P	B09_plate11	045M	H-2-15	OD43_2	42	YK83_1	Q	Q42
766	B03_allLanes_P	H06_allLanes_P	C07_plate29	109M	H-1-15	OD43_2	42	YK83_1	Q	Q42
791	B03_allLanes_P	F01_allLanes_P	B07_plate08	027R	H-1-15	YD53_2	44	YK83_1	Q	Q44
801	B03_allLanes_P	A01_allLanes_P	B09_plate23	095G	H-2-15	YI44_2	45	YK83_1	Q	Q45
811	B03_allLanes_P	H06_allLanes_P	B07_plate21	077Q	H-1-15	OD43_2	42	YK83_1	Q	Q42
831	B03_allLanes_P	H02_allLanes_P	C07_plate14	059B	H-1-15	YD98_2	43	YK83_1	Q	Q43
836	B03_allLanes_P	A01_allLanes_P	B08_plate04	012V	H-1-18	YI44_2	45	YK83_1	Q	Q45
841	B03_allLanes_P	F01_allLanes_P	B08_plate19	078G	H-1-18	YD53_2	44	YK83_1	Q	Q44
856	B03_allLanes_P	H06_allLanes_P	C07_plate23	093D	H-1-15	OD43_2	42	YK83_1	Q	Q42
866	B03_allLanes_P	H02_allLanes_P	B09_plate15	061K	H-2-15	YD98_2	43	YK83_1	Q	Q43
881	B04_allLanes_P	A01_allLanes_P	B09_plate08	029V	H-2-15	YI44_2	45	OF09_1	R	R45
891	B04_allLanes_P	A01_allLanes_P	B09_plate14	061E	H-2-15	YI44_2	45	OF09_1	R	R45
901	B04_allLanes_P	F01_allLanes_P	B09_plate01	013F	H-2-15	YD53_2	44	OF09_1	R	R44
906	B04_allLanes_P	H02_allLanes_P	B08_plate15	060I	H-1-18	YD98_2	43	OF09_1	R	R43
916	B04_allLanes_P	H02_allLanes_P	C07_plate13	043V	H-1-15	YD98_2	43	OF09_1	R	R43
926	B04_allLanes_P	H02_allLanes_P	C07_plate11	043J	H-1-15	YD98_2	43	OF09_1	R	R43
931	B04_allLanes_P	A01_allLanes_P	B09_plate05	029D	H-2-15	YI44_2	45	OF09_1	R	R45
941	B04_allLanes_P	F01_allLanes_P	B07_plate24	093I	H-1-15	YD53_2	44	OF09_1	R	R44
946	B04_allLanes_P	H02_allLanes_P	C07_plate04	011U	H-1-15	YD98_2	43	OF09_1	R	R43
951	B04_allLanes_P	H06_allLanes_P	B08_plate30	110T	H-1-18	OD43_2	42	OF09_1	R	R42
961	B04_allLanes_P	F01_allLanes_P	C07_plate28	109G	H-1-15	YD53_2	44	OF09_1	R	R44
966	B04_allLanes_P	H02_allLanes_P	B09_plate07	029P	H-2-15	YD98_2	43	OF09_1	R	R43
976	B04_allLanes_P	H02_allLanes_P	C07_plate17	059T	H-1-15	YD98_2	43	OF09_1	R	R43
986	B04_allLanes_P	F01_allLanes_P	B07_plate03	011N	H-1-15	YD53_2	44	OF09_1	R	R44
996	B04_allLanes_P	H02_allLanes_P	B07_plate13	043U	H-1-15	YD98_2	43	OF09_1	R	R43
1006	B04_allLanes_P	H02_allLanes_P	C07_plate06	027G	H-1-15	YD98_2	43	OF09_1	R	R43
1016	B04_allLanes_P	E08_allLanes_P	C07_plate33	117K	H-1-15	OL28_2	41	OF09_1	R	R41
1021	B04_allLanes_P	H02_allLanes_P	B07_plate15	059G	H-1-15	YD98_2	43	OF09_1	R	R43
1026	B04_allLanes_P	H02_allLanes_P	B08_plate27	110B	H-1-18	YD98_2	43	OF09_1	R	R43
1036	B04_allLanes_P	H02_allLanes_P	C07_plate18	059Z	H-1-15	YD98_2	43	OF09_1	R	R43
1046	B04_allLanes_P	H02_allLanes_P	C08_plate01	012E	H-1-18	YD98_2	43	OF09_1	R	R43
1056	B04_allLanes_P	H02_allLanes_P	C07_plate16	059N	H-1-15	YD98_2	43	OF09_1	R	R43
1066	B04_allLanes_P	H02_allLanes_P	B08_plate07	028N	H-1-18	YD98_2	43	OF09_1	R	R43
1076	B04_allLanes_P	E08_allLanes_P	C07_plate24	093J	H-1-15	OL28_2	41	OF09_1	R	R41
1081	B04_allLanes_P	H06_allLanes_P	B08_plate26	094V	H-1-18	OD43_2	42	OF09_1	R	R42
1101	B04_allLanes_P	H02_allLanes_P	C07_plate21	077R	H-1-15	YD98_2	43	OF09_1	R	R43
1111	B04_allLanes_P	E08_allLanes_P	C07_plate12	043P	H-1-15	OL28_2	41	OF09_1	R	R41
1116	B04_allLanes_P	F01_allLanes_P	C08_plate02	012K	H-1-18	YD53_2	44	OF09_1	R	R44
1126	B04_allLanes_P	F01_allLanes_P	B08_plate33	118Y	H-1-18	YD53_2	44	OF09_1	R	R44
1146	B04_allLanes_P	H02_allLanes_P	C07_plate31	109Y	H-1-15	YD98_2	43	OF09_1	R	R43
1151	B04_allLanes_P	H06_allLanes_P	B09_plate19	079I	H-2-15	OD43_2	42	OF09_1	R	R42
1166	B04_allLanes_P	E08_allLanes_P	B09_plate30	111V	H-2-15	OL28_2	41	OF09_1	R	R41
1176	B04_allLanes_P	H02_allLanes_P	B07_plate19	077E	H-1-15	YD98_2	43	OF09_1	R	R43
1191	B04_allLanes_P	E08_allLanes_P	B09_plate13	045Y	H-2-15	OL28_2	41	OF09_1	R	R41
1196	B04_allLanes_P	H02_allLanes_P	B08_plate32	118S	H-1-18	YD98_2	43	OF09_1	R	R43
1206	B04_allLanes_P	H02_allLanes_P	B08_plate20	078M	H-1-18	YD98_2	43	OF09_1	R	R43
1226	B04_allLanes_P	E08_allLanes_P	B08_plate14	060C	H-1-18	OL28_2	41	OF09_1	R	R41
1231	B04_allLanes_P	H02_allLanes_P	B12_plate28	109K	Mix-2-15	YD98_2	43	OF09_1	R	R43
1236	B04_allLanes_P	H06_allLanes_P	B07_plate27	093Z	H-1-15	OD43_2	42	OF09_1	R	R42
1261	B04_allLanes_P	H06_allLanes_P	B07_plate14	059A	H-1-15	OD43_2	42	OF09_1	R	R42
1286	B10_allLanes_P	G06_allLanes_P	C02_plate18	066H	L-1-18	OD42_2	2	YS77_1	A	A2
1331	C06_allLanes_P	F08_allLanes_P	C03_plate07	018X	L-2-18	YG96_2	9	OC50_1	C	C9
1341	C11_allLanes_P	H07_allLanes_P	C01_plate25	097C	L-1-15	OG59_2	10	YT86_1	D	D10
1346	C11_allLanes_P	F08_allLanes_P	C02_plate20	066T	L-1-18	YG96_2	9	YT86_1	D	D9
1356	C11_allLanes_P	H07_allLanes_P	C01_plate18	065M	L-1-15	OG59_2	10	YT86_1	D	D10
1361	C11_allLanes_P	H07_allLanes_P	C01_plate29	113A	L-1-15	OG59_2	10	YT86_1	D	D10
1371	C11_allLanes_P	D05_allLanes_P	C02_plate26	098D	L-1-18	YT35_2	7	YT86_1	D	D7
1376	C11_allLanes_P	B01_allLanes_P	C03_plate16	050Z	L-2-18	YJ88_2	6	YT86_1	D	D6
1396	C11_allLanes_P	D05_allLanes_P	C01_plate05	015N	L-1-15	YT35_2	7	YT86_1	D	D7
