Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
596	B03_allLanes_P	E08_allLanes_P	E08_plate06	029E	H-2-15	OL28_2	41	YK83_1	Q	Q41
606	B03_allLanes_P	E08_allLanes_P	E09_plate08	030S	H-2-18	OL28_2	41	YK83_1	Q	Q41
616	B03_allLanes_P	E08_allLanes_P	E08_plate29	111K	H-2-15	OL28_2	41	YK83_1	Q	Q41
626	B03_allLanes_P	H02_allLanes_P	E09_plate20	080L	H-2-18	YD98_2	43	YK83_1	Q	Q43
631	B03_allLanes_P	H02_allLanes_P	E07_plate09	027Z	H-1-15	YD98_2	43	YK83_1	Q	Q43
636	B03_allLanes_P	F01_allLanes_P	E09_plate14	062B	H-2-18	YD53_2	44	YK83_1	Q	Q44
646	B03_allLanes_P	E08_allLanes_P	E10_plate02	007K	Mix-1-15	OL28_2	41	YK83_1	Q	Q41
656	B03_allLanes_P	E08_allLanes_P	E10_plate13	039X	Mix-1-15	OL28_2	41	YK83_1	Q	Q41
666	B03_allLanes_P	E08_allLanes_P	E07_plate23	093F	H-1-15	OL28_2	41	YK83_1	Q	Q41
676	B03_allLanes_P	E08_allLanes_P	E08_plate31	111W	H-2-15	OL28_2	41	YK83_1	Q	Q41
696	B03_allLanes_P	H06_allLanes_P	E09_plate25	096P	H-2-18	OD43_2	42	YK83_1	Q	Q42
716	B03_allLanes_P	H02_allLanes_P	E10_plate05	023C	Mix-1-15	YD98_2	43	YK83_1	Q	Q43
726	B03_allLanes_P	H02_allLanes_P	E08_plate18	061X	H-2-15	YD98_2	43	YK83_1	Q	Q43
736	B03_allLanes_P	H06_allLanes_P	E07_plate24	093L	H-1-15	OD43_2	42	YK83_1	Q	Q42
741	B03_allLanes_P	F01_allLanes_P	E09_plate12	046P	H-2-18	YD53_2	44	YK83_1	Q	Q44
746	B03_allLanes_P	H06_allLanes_P	E09_plate13	046V	H-2-18	OD43_2	42	YK83_1	Q	Q42
751	B03_allLanes_P	F01_allLanes_P	E09_plate31	112Y	H-2-18	YD53_2	44	YK83_1	Q	Q44
761	B03_allLanes_P	H02_allLanes_P	E08_plate04	013S	H-2-15	YD98_2	43	YK83_1	Q	Q43
786	B03_allLanes_P	F01_allLanes_P	E09_plate04	014U	H-2-18	YD53_2	44	YK83_1	Q	Q44
791	B03_allLanes_P	F01_allLanes_P	E08_plate22	079V	H-2-15	YD53_2	44	YK83_1	Q	Q44
811	B04_allLanes_P	H02_allLanes_P	E07_plate11	043L	H-1-15	YD98_2	43	OF09_1	R	R43
816	B04_allLanes_P	H02_allLanes_P	E07_plate06	027I	H-1-15	YD98_2	43	OF09_1	R	R43
821	B04_allLanes_P	H02_allLanes_P	E09_plate15	062H	H-2-18	YD98_2	43	OF09_1	R	R43
826	B04_allLanes_P	A01_allLanes_P	E09_plate33	118K	H-2-18	YI44_2	45	OF09_1	R	R45
831	B04_allLanes_P	F01_allLanes_P	E08_plate09	029W	H-2-15	YD53_2	44	OF09_1	R	R44
841	B04_allLanes_P	E08_allLanes_P	E07_plate25	093Q	H-1-15	OL28_2	41	OF09_1	R	R41
846	B04_allLanes_P	H02_allLanes_P	E07_plate20	077N	H-1-15	YD98_2	43	OF09_1	R	R43
861	B04_allLanes_P	E08_allLanes_P	E09_plate28	112G	H-2-18	OL28_2	41	OF09_1	R	R41
876	B04_allLanes_P	H02_allLanes_P	E07_plate18	077B	H-1-15	YD98_2	43	OF09_1	R	R43
891	B04_allLanes_P	F01_allLanes_P	E07_plate12	043R	H-1-15	YD53_2	44	OF09_1	R	R44
906	B04_allLanes_P	H06_allLanes_P	E09_plate17	062T	H-2-18	OD43_2	42	OF09_1	R	R42
921	B04_allLanes_P	A01_allLanes_P	E08_plate05	013Y	H-2-15	YI44_2	45	OF09_1	R	R45
926	B04_allLanes_P	E08_allLanes_P	E08_plate27	095Z	H-2-15	OL28_2	41	OF09_1	R	R41
941	B04_allLanes_P	A01_allLanes_P	E08_plate32	117O	H-2-15	YI44_2	45	OF09_1	R	R45
946	B04_allLanes_P	A01_allLanes_P	E08_plate07	029K	H-2-15	YI44_2	45	OF09_1	R	R45
956	B04_allLanes_P	A01_allLanes_P	E08_plate13	045T	H-2-15	YI44_2	45	OF09_1	R	R45
966	B04_allLanes_P	H02_allLanes_P	E07_plate17	059V	H-1-15	YD98_2	43	OF09_1	R	R43
971	B04_allLanes_P	F01_allLanes_P	E07_plate28	109I	H-1-15	YD53_2	44	OF09_1	R	R44
981	B04_allLanes_P	H06_allLanes_P	E08_plate26	095T	H-2-15	OD43_2	42	OF09_1	R	R42
991	B04_allLanes_P	H02_allLanes_P	E08_plate24	095H	H-2-15	YD98_2	43	OF09_1	R	R43
1001	B04_allLanes_P	H06_allLanes_P	E09_plate23	096D	H-2-18	OD43_2	42	OF09_1	R	R42
1006	B04_allLanes_P	H06_allLanes_P	E08_plate02	013G	H-2-15	OD43_2	42	OF09_1	R	R42
1016	B04_allLanes_P	A01_allLanes_P	E09_plate02	014I	H-2-18	YI44_2	45	OF09_1	R	R45
1026	B04_allLanes_P	H06_allLanes_P	E07_plate10	043F	H-1-15	OD43_2	42	OF09_1	R	R42
1036	B04_allLanes_P	H02_allLanes_P	E09_plate01	014C	H-2-18	YD98_2	43	OF09_1	R	R43
1046	B04_allLanes_P	A01_allLanes_P	E09_plate19	080F	H-2-18	YI44_2	45	OF09_1	R	R45
1056	B04_allLanes_P	H06_allLanes_P	E09_plate06	030G	H-2-18	OD43_2	42	OF09_1	R	R42
1061	B04_allLanes_P	H06_allLanes_P	E08_plate25	095N	H-2-15	OD43_2	42	OF09_1	R	R42
1071	B04_allLanes_P	F01_allLanes_P	E09_plate09	030Y	H-2-18	YD53_2	44	OF09_1	R	R44
1076	B04_allLanes_P	H06_allLanes_P	E07_plate13	043X	H-1-15	OD43_2	42	OF09_1	R	R42
1096	B04_allLanes_P	H06_allLanes_P	E09_plate27	112B	H-2-18	OD43_2	42	OF09_1	R	R42
1136	B10_allLanes_P	G06_allLanes_P	F02_plate11	033U	L-2-15	OD42_2	2	YS77_1	A	A2
1146	B10_allLanes_P	G06_allLanes_P	E02_plate32	115P	L-2-15	OD42_2	2	YS77_1	A	A2
1161	C06_allLanes_P	H07_allLanes_P	E01_plate23	081S	L-1-15	OG59_2	10	OC50_1	C	C10
1171	C11_allLanes_P	H07_allLanes_P	F01_plate19	065V	L-1-15	OG59_2	10	YT86_1	D	D10
1176	C11_allLanes_P	H07_allLanes_P	F02_plate08	033C	L-2-15	OG59_2	10	YT86_1	D	D10
1181	C11_allLanes_P	B01_allLanes_P	E01_plate11	031Z	L-1-15	YJ88_2	6	YT86_1	D	D6
1186	C11_allLanes_P	B01_allLanes_P	E03_plate16	068B	L-2-18	YJ88_2	6	YT86_1	D	D6
1196	C11_allLanes_P	D05_allLanes_P	F02_plate28	099R	L-2-15	YT35_2	7	YT86_1	D	D7
1201	C11_allLanes_P	B11_allLanes_P	F03_plate09	034M	L-2-18	YO99_2	8	YT86_1	D	D8
1206	C11_allLanes_P	D05_allLanes_P	E02_plate02	001M	L-2-15	YT35_2	7	YT86_1	D	D7
1216	C11_allLanes_P	B01_allLanes_P	E01_plate15	047X	L-1-15	YJ88_2	6	YT86_1	D	D6
1226	C11_allLanes_P	B01_allLanes_P	F01_plate21	081H	L-1-15	YJ88_2	6	YT86_1	D	D6
1231	C11_allLanes_P	D05_allLanes_P	E02_plate01	001C	L-2-15	YT35_2	7	YT86_1	D	D7
1241	C11_allLanes_P	B11_allLanes_P	E03_plate22	084K	L-2-18	YO99_2	8	YT86_1	D	D8
1251	C11_allLanes_P	B11_allLanes_P	F01_plate23	081T	L-1-15	YO99_2	8	YT86_1	D	D8
1266	C11_allLanes_P	D05_allLanes_P	E02_plate31	115J	L-2-15	YT35_2	7	YT86_1	D	D7
1276	C11_allLanes_P	B11_allLanes_P	F02_plate02	001O	L-2-15	YO99_2	8	YT86_1	D	D8
1281	C11_allLanes_P	H07_allLanes_P	F01_plate08	031I	L-1-15	OG59_2	10	YT86_1	D	D10
1321	D02_allLanes_P	E04_allLanes_P	E02_plate12	033Z	L-2-15	OS12_2	15	YJ60_1	F	F15
1328	D02_allLanes_P	E06_allLanes_P	F01_plate24	081Z	L-1-15	OC64_2	14	YJ60_1	F	F14
1335	D02_allLanes_P	A09_allLanes_P	E01_plate14	047R	L-1-15	YG97_2	13	YJ60_1	F	F13
1342	D02_allLanes_P	A09_allLanes_P	F01_plate02	001V	L-1-15	YG97_2	13	YJ60_1	F	F13
1349	D02_allLanes_P	E06_allLanes_P	E01_plate17	065I	L-1-15	OC64_2	14	YJ60_1	F	F14
1363	D02_allLanes_P	E06_allLanes_P	E03_plate15	050V	L-2-18	OC64_2	14	YJ60_1	F	F14
1370	D02_allLanes_P	E04_allLanes_P	F02_plate29	099X	L-2-15	OS12_2	15	YJ60_1	F	F15
1398	D02_allLanes_P	E04_allLanes_P	F01_plate28	097X	L-1-15	OS12_2	15	YJ60_1	F	F15
1412	D02_allLanes_P	E04_allLanes_P	F02_plate16	049Y	L-2-15	OS12_2	15	YJ60_1	F	F15
1440	D02_allLanes_P	A09_allLanes_P	F01_plate15	047Y	L-1-15	YG97_2	13	YJ60_1	F	F13
1475	D02_allLanes_P	E06_allLanes_P	E03_plate26	100I	L-2-18	OC64_2	14	YJ60_1	F	F14
1482	D02_allLanes_P	A09_allLanes_P	E02_plate22	083G	L-2-15	YG97_2	13	YJ60_1	F	F13
1489	D02_allLanes_P	E06_allLanes_P	F02_plate14	049M	L-2-15	OC64_2	14	YJ60_1	F	F14
1496	D02_allLanes_P	A09_allLanes_P	F03_plate04	018I	L-2-18	YG97_2	13	YJ60_1	F	F13
1510	D02_allLanes_P	E06_allLanes_P	E02_plate27	099K	L-2-15	OC64_2	14	YJ60_1	F	F14
1517	D02_allLanes_P	A09_allLanes_P	F03_plate12	050E	L-2-18	YG97_2	13	YJ60_1	F	F13
1524	D02_allLanes_P	E04_allLanes_P	E03_plate10	034R	L-2-18	OS12_2	15	YJ60_1	F	F15
1531	D02_allLanes_P	A09_allLanes_P	F02_plate13	049G	L-2-15	YG97_2	13	YJ60_1	F	F13
1552	D02_allLanes_P	A09_allLanes_P	F01_plate20	081B	L-1-15	YG97_2	13	YJ60_1	F	F13
1573	D02_allLanes_P	E04_allLanes_P	E01_plate20	081A	L-1-15	OS12_2	15	YJ60_1	F	F15
1580	D02_allLanes_P	A11_allLanes_P	E01_plate18	065O	L-1-15	YO96_2	11	YJ60_1	F	F11
1587	D02_allLanes_P	A11_allLanes_P	F01_plate13	047M	L-1-15	YO96_2	11	YJ60_1	F	F11
1636	D02_allLanes_P	A09_allLanes_P	F02_plate22	083H	L-2-15	YG97_2	13	YJ60_1	F	F13
1650	D02_allLanes_P	E06_allLanes_P	E03_plate21	084E	L-2-18	OC64_2	14	YJ60_1	F	F14
1664	D02_allLanes_P	A09_allLanes_P	F01_plate18	065P	L-1-15	YG97_2	13	YJ60_1	F	F13
1678	D02_allLanes_P	E06_allLanes_P	E02_plate20	067U	L-2-15	OC64_2	14	YJ60_1	F	F14
1685	D02_allLanes_P	A09_allLanes_P	F02_plate07	017W	L-2-15	YG97_2	13	YJ60_1	F	F13
1706	D02_allLanes_P	A09_allLanes_P	D11_plate33	114V	L-1-18	YG97_2	13	YJ60_1	F	F13
1741	D02_allLanes_P	A11_allLanes_P	E02_plate25	083Y	L-2-15	YO96_2	11	YJ60_1	F	F11
1762	D02_allLanes_P	B12_allLanes_P	E01_plate29	113C	L-1-15	YN92_2	12	YJ60_1	F	F12
1769	D02_allLanes_P	A11_allLanes_P	E01_plate27	097Q	L-1-15	YO96_2	11	YJ60_1	F	F11
1783	D02_allLanes_P	E06_allLanes_P	F03_plate06	018U	L-2-18	OC64_2	14	YJ60_1	F	F14
1797	D02_allLanes_P	E06_allLanes_P	F01_plate05	015Q	L-1-15	OC64_2	14	YJ60_1	F	F14
1818	D02_allLanes_P	E06_allLanes_P	F02_plate26	099F	L-2-15	OC64_2	14	YJ60_1	F	F14
1832	D02_allLanes_P	E04_allLanes_P	E03_plate18	068N	L-2-18	OS12_2	15	YJ60_1	F	F15
1839	D02_allLanes_P	E06_allLanes_P	F01_plate17	065J	L-1-15	OC64_2	14	YJ60_1	F	F14
1881	D02_allLanes_P	A09_allLanes_P	E03_plate02	002S	L-2-18	YG97_2	13	YJ60_1	F	F13
1895	D02_allLanes_P	E04_allLanes_P	F03_plate07	034A	L-2-18	OS12_2	15	YJ60_1	F	F15
1902	D02_allLanes_P	A11_allLanes_P	E01_plate06	015V	L-1-15	YO96_2	11	YJ60_1	F	F11
1909	D02_allLanes_P	B12_allLanes_P	E02_plate06	017P	L-2-15	YN92_2	12	YJ60_1	F	F12
1923	D02_allLanes_P	B12_allLanes_P	F02_plate31	115K	L-2-15	YN92_2	12	YJ60_1	F	F12
1951	D02_allLanes_P	E04_allLanes_P	E03_plate29	116A	L-2-18	OS12_2	15	YJ60_1	F	F15
1993	D02_allLanes_P	B12_allLanes_P	E02_plate26	099E	L-2-15	YN92_2	12	YJ60_1	F	F12
