Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
631	F05_allLanes_P	C08_allLanes_P	H11_plate16	057O	Mix-2-15	OJ25_2	55	YK96_1	U	U55
651	F05_allLanes_P	E02_allLanes_P	H10_plate25	120V	Mix-1-18	OD19_2	54	YK96_1	U	U54
661	F05_allLanes_P	D04_allLanes_P	H10_plate22	090Q	Mix-1-18	OS02_2	52	YK96_1	U	U52
671	F05_allLanes_P	D04_allLanes_P	H11_plate08	025T	Mix-2-15	OS02_2	52	YK96_1	U	U52
691	H01_allLanes_P	C07_allLanes_P	H12_plate07	026P	Mix-2-18	OH33_2	39	OC05_1	O	O39
696	H01_allLanes_P	C07_allLanes_P	H10_plate32	119U	Mix-1-15	OH33_2	39	OC05_1	O	O39
706	H01_allLanes_P	C07_allLanes_P	H11_plate20	075M	Mix-2-15	OH33_2	39	OC05_1	O	O39
756	H01_allLanes_P	C07_allLanes_P	H12_plate10	042H	Mix-2-18	OH33_2	39	OC05_1	O	O39
771	H01_allLanes_P	C07_allLanes_P	H10_plate15	074G	Mix-1-18	OH33_2	39	OC05_1	O	O39
12	0	D10_allLanes_P	H11_plate23	091E	Mix-2-15	YR82_2	56	NA	NA	NA56
2	0	D10_allLanes_P	H11_plate31	107Z	Mix-2-15	YR82_2	56	NA	NA	NA56
4	0	D10_allLanes_P	H12_plate22	092A	Mix-2-18	YR82_2	56	NA	NA	NA56
61	0	D10_allLanes_P	H12_plate14	058F	Mix-2-18	YR82_2	56	NA	NA	NA56
7	0	0	H12_plate33	120K	Mix-2-18	NA	NA	NA	NA	NANA
8	0	D10_allLanes_P	H12_plate19	076I	Mix-2-18	YR82_2	56	NA	NA	NA56
9	0	A02_allLanes_P	H10_plate14	074A	Mix-1-18	YG06_2	60	NA	NA	NA60
11	0	A02_allLanes_P	H10_plate17	074S	Mix-1-18	YG06_2	60	NA	NA	NA60
14	0	E10_allLanes_P	H11_plate19	075G	Mix-2-15	YR84_2	59	NA	NA	NA59
16	0	E10_allLanes_P	H11_plate27	107C	Mix-2-15	YR84_2	59	NA	NA	NA59
18	0	E10_allLanes_P	H11_plate28	107I	Mix-2-15	YR84_2	59	NA	NA	NA59
21	0	E10_allLanes_P	H12_plate21	076U	Mix-2-18	YR84_2	59	NA	NA	NA59
23	0	E10_allLanes_P	H11_plate26	091W	Mix-2-15	YR84_2	59	NA	NA	NA59
25	0	E10_allLanes_P	H12_plate27	108E	Mix-2-18	YR84_2	59	NA	NA	NA59
27	0	G10_allLanes_P	H12_plate11	042N	Mix-2-18	OO53_2	58	NA	NA	NA58
28	0	G10_allLanes_P	H11_plate12	041R	Mix-2-15	OO53_2	58	NA	NA	NA58
30	0	G10_allLanes_P	H10_plate29	106J	Mix-1-15	OO53_2	58	NA	NA	NA58
34	F03_allLanes_P	0	H10_plate16	074M	Mix-1-18	NA	NA	YV27_1	X	XNA
39	F03_allLanes_P	0	H12_plate08	026V	Mix-2-18	NA	NA	YV27_1	X	XNA
44	F03_allLanes_P	0	H11_plate05	025B	Mix-2-15	NA	NA	YV27_1	X	XNA
49	F03_allLanes_P	0	H11_plate15	057I	Mix-2-15	NA	NA	YV27_1	X	XNA
54	F03_allLanes_P	0	H12_plate32	120E	Mix-2-18	NA	NA	YV27_1	X	XNA
59	F03_allLanes_P	0	H11_plate29	107O	Mix-2-15	NA	NA	YV27_1	X	XNA
64	H04_allLanes_P	0	H11_plate33	114Z	L-1-18	NA	NA	YG81_1	E	ENA
