Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
526	B03_allLanes_P	H02_allLanes_P	G08_plate33	117W	H-2-15	YD98_2	43	YK83_1	Q	Q43
531	B03_allLanes_P	H06_allLanes_P	G08_plate20	079L	H-2-15	OD43_2	42	YK83_1	Q	Q42
541	B03_allLanes_P	H06_allLanes_P	H09_plate24	096M	H-2-18	OD43_2	42	YK83_1	Q	Q42
546	B03_allLanes_P	H02_allLanes_P	G08_plate31	111Y	H-2-15	YD98_2	43	YK83_1	Q	Q43
551	B03_allLanes_P	A01_allLanes_P	H09_plate22	096A	H-2-18	YI44_2	45	YK83_1	Q	Q45
561	B03_allLanes_P	A01_allLanes_P	G08_plate09	029Y	H-2-15	YI44_2	45	YK83_1	Q	Q45
571	B03_allLanes_P	A01_allLanes_P	G09_plate30	112U	H-2-18	YI44_2	45	YK83_1	Q	Q45
581	B03_allLanes_P	A01_allLanes_P	H07_plate03	012N	H-1-18	YI44_2	45	YK83_1	Q	Q45
591	B03_allLanes_P	E08_allLanes_P	H07_plate19	078E	H-1-18	OL28_2	41	YK83_1	Q	Q41
596	B03_allLanes_P	H02_allLanes_P	G07_plate03	012M	H-1-18	YD98_2	43	YK83_1	Q	Q43
606	B03_allLanes_P	F01_allLanes_P	G07_plate04	012S	H-1-18	YD53_2	44	YK83_1	Q	Q44
616	B03_allLanes_P	H02_allLanes_P	H08_plate01	013D	H-2-15	YD98_2	43	YK83_1	Q	Q43
626	B03_allLanes_P	H02_allLanes_P	G08_plate02	013I	H-2-15	YD98_2	43	YK83_1	Q	Q43
636	B03_allLanes_P	F01_allLanes_P	G07_plate23	094B	H-1-18	YD53_2	44	YK83_1	Q	Q44
646	B03_allLanes_P	E08_allLanes_P	H08_plate27	111B	H-2-15	OL28_2	41	YK83_1	Q	Q41
651	B03_allLanes_P	A01_allLanes_P	H09_plate17	062W	H-2-18	YI44_2	45	YK83_1	Q	Q45
661	B03_allLanes_P	E08_allLanes_P	H09_plate21	080U	H-2-18	OL28_2	41	YK83_1	Q	Q41
671	B03_allLanes_P	A01_allLanes_P	G07_plate13	044T	H-1-18	YI44_2	45	YK83_1	Q	Q45
681	B03_allLanes_P	H02_allLanes_P	G07_plate19	078D	H-1-18	YD98_2	43	YK83_1	Q	Q43
691	B03_allLanes_P	H06_allLanes_P	H07_plate24	094I	H-1-18	OD43_2	42	YK83_1	Q	Q42
701	B03_allLanes_P	F01_allLanes_P	G09_plate06	030I	H-2-18	YD53_2	44	YK83_1	Q	Q44
711	B03_allLanes_P	E08_allLanes_P	H09_plate20	080O	H-2-18	OL28_2	41	YK83_1	Q	Q41
716	B03_allLanes_P	E08_allLanes_P	G08_plate04	013U	H-2-15	OL28_2	41	YK83_1	Q	Q41
721	B03_allLanes_P	H02_allLanes_P	H08_plate17	061U	H-2-15	YD98_2	43	YK83_1	Q	Q43
741	B03_allLanes_P	F01_allLanes_P	G09_plate14	062D	H-2-18	YD53_2	44	YK83_1	Q	Q44
746	B03_allLanes_P	E08_allLanes_P	H09_plate13	046Y	H-2-18	OL28_2	41	YK83_1	Q	Q41
751	B03_allLanes_P	F01_allLanes_P	H09_plate07	030P	H-2-18	YD53_2	44	YK83_1	Q	Q44
766	B03_allLanes_P	E08_allLanes_P	G09_plate31	118A	H-2-18	OL28_2	41	YK83_1	Q	Q41
776	B03_allLanes_P	H02_allLanes_P	H08_plate13	045W	H-2-15	YD98_2	43	YK83_1	Q	Q43
786	B03_allLanes_P	F01_allLanes_P	H09_plate18	080C	H-2-18	YD53_2	44	YK83_1	Q	Q44
791	B03_allLanes_P	H06_allLanes_P	H08_plate23	095E	H-2-15	OD43_2	42	YK83_1	Q	Q42
801	B03_allLanes_P	H06_allLanes_P	G09_plate20	080N	H-2-18	OD43_2	42	YK83_1	Q	Q42
831	B03_allLanes_P	H02_allLanes_P	H09_plate03	014R	H-2-18	YD98_2	43	YK83_1	Q	Q43
871	B03_allLanes_P	H02_allLanes_P	H08_plate22	079Y	H-2-15	YD98_2	43	YK83_1	Q	Q43
881	B04_allLanes_P	A01_allLanes_P	H07_plate05	012Z	H-1-18	YI44_2	45	OF09_1	R	R45
886	B04_allLanes_P	A01_allLanes_P	G07_plate05	012Y	H-1-18	YI44_2	45	OF09_1	R	R45
896	B04_allLanes_P	A01_allLanes_P	H07_plate20	078K	H-1-18	YI44_2	45	OF09_1	R	R45
901	B04_allLanes_P	A01_allLanes_P	G08_plate21	079R	H-2-15	YI44_2	45	OF09_1	R	R45
906	B04_allLanes_P	A01_allLanes_P	H08_plate20	079M	H-2-15	YI44_2	45	OF09_1	R	R45
916	B04_allLanes_P	A01_allLanes_P	H09_plate09	046B	H-2-18	YI44_2	45	OF09_1	R	R45
921	B04_allLanes_P	A01_allLanes_P	H07_plate18	060Y	H-1-18	YI44_2	45	OF09_1	R	R45
931	B04_allLanes_P	E08_allLanes_P	G09_plate07	030O	H-2-18	OL28_2	41	OF09_1	R	R41
936	B04_allLanes_P	A01_allLanes_P	G08_plate07	029M	H-2-15	YI44_2	45	OF09_1	R	R45
941	B04_allLanes_P	E08_allLanes_P	G07_plate01	012A	H-1-18	OL28_2	41	OF09_1	R	R41
946	B04_allLanes_P	E08_allLanes_P	G07_plate28	110E	H-1-18	OL28_2	41	OF09_1	R	R41
951	B04_allLanes_P	E08_allLanes_P	G07_plate02	012G	H-1-18	OL28_2	41	OF09_1	R	R41
