Date_Time	Day	Time	Day_Time	Temp	System	Location
2021-06-13 00:00:00	6	24	6.24	14.912	R1_15	egg_chambers
2021-06-13 01:00:00	7	1	7.1	15.485	R1_15	egg_chambers
2021-06-13 02:00:00	7	2	7.2	15.127	R1_15	egg_chambers
2021-06-13 03:00:00	7	3	7.3	14.96	R1_15	egg_chambers
2021-06-13 04:00:00	7	4	7.4	15.414	R1_15	egg_chambers
2021-06-13 05:00:00	7	5	7.5	15.031	R1_15	egg_chambers
2021-06-13 06:00:00	7	6	7.6	15.127	R1_15	egg_chambers
2021-06-13 07:00:00	7	7	7.7	15.27	R1_15	egg_chambers
2021-06-13 08:00:00	7	8	7.8	14.768	R1_15	egg_chambers
2021-06-13 09:00:00	7	9	7.9	15.485	R1_15	egg_chambers
2021-06-13 10:00:00	7	10	7.10	15.151	R1_15	egg_chambers
2021-06-13 11:00:00	7	11	7.11	15.008	R1_15	egg_chambers
2021-06-13 12:00:00	7	12	7.12	15.485	R1_15	egg_chambers
2021-06-13 13:00:00	7	13	7.13	14.888	R1_15	egg_chambers
2021-06-13 14:00:00	7	14	7.14	15.223	R1_15	egg_chambers
2021-06-13 15:00:00	7	15	7.15	15.318	R1_15	egg_chambers
2021-06-13 16:00:00	7	16	7.16	14.864	R1_15	egg_chambers
2021-06-13 17:00:00	7	17	7.17	15.342	R1_15	egg_chambers
2021-06-13 18:00:00	7	18	7.18	15.223	R1_15	egg_chambers
2021-06-13 19:00:00	7	19	7.19	15.127	R1_15	egg_chambers
2021-06-13 20:00:00	7	20	7.20	15.485	R1_15	egg_chambers
2021-06-13 21:00:00	7	21	7.21	14.864	R1_15	egg_chambers
2021-06-13 22:00:00	7	22	7.22	15.079	R1_15	egg_chambers
2021-06-13 23:00:00	7	23	7.23	15.318	R1_15	egg_chambers
2021-06-14 00:00:00	7	24	7.24	14.888	R1_15	egg_chambers
2021-06-14 01:00:00	8	1	8.1	15.055	R1_15	egg_chambers
2021-06-14 02:00:00	8	2	8.2	15.27	R1_15	egg_chambers
2021-06-14 03:00:00	8	3	8.3	14.888	R1_15	egg_chambers
2021-06-14 04:00:00	8	4	8.4	15.103	R1_15	egg_chambers
2021-06-14 05:00:00	8	5	8.5	15.27	R1_15	egg_chambers
2021-06-14 06:00:00	8	6	8.6	14.84	R1_15	egg_chambers
2021-06-14 07:00:00	8	7	8.7	15.199	R1_15	egg_chambers
2021-06-14 08:00:00	8	8	8.8	15.342	R1_15	egg_chambers
2021-06-14 09:00:00	8	9	8.9	15.175	R1_15	egg_chambers
2021-06-14 10:00:00	8	10	8.10	14.816	R1_15	egg_chambers
2021-06-09 11:00:00	3	11	3.11	15.414	R2_15	egg_chambers
2021-06-09 12:00:00	3	12	3.12	15.008	R2_15	egg_chambers
2021-06-09 13:00:00	3	13	3.13	15.223	R2_15	egg_chambers
2021-06-09 14:00:00	3	14	3.14	14.84	R2_15	egg_chambers
2021-06-09 15:00:00	3	15	3.15	14.888	R2_15	egg_chambers
2021-06-09 16:00:00	3	16	3.16	15.414	R2_15	egg_chambers
2021-06-09 17:00:00	3	17	3.17	14.792	R2_15	egg_chambers
2021-06-09 18:00:00	3	18	3.18	15.318	R2_15	egg_chambers
2021-06-09 19:00:00	3	19	3.19	14.697	R2_15	egg_chambers
2021-06-09 20:00:00	3	20	3.20	15.27	R2_15	egg_chambers
2021-06-09 21:00:00	3	21	3.21	14.649	R2_15	egg_chambers
2021-06-09 22:00:00	3	22	3.22	15.175	R2_15	egg_chambers
2021-06-09 23:00:00	3	23	3.23	14.337	R2_15	egg_chambers
2021-06-10 00:00:00	3	24	3.24	15.103	R2_15	egg_chambers
2021-06-10 01:00:00	4	1	4.1	14.768	R2_15	egg_chambers
2021-06-10 02:00:00	4	2	4.2	14.96	R2_15	egg_chambers
2021-06-10 03:00:00	4	3	4.3	15.294	R2_15	egg_chambers
2021-06-10 04:00:00	4	4	4.4	14.625	R2_15	egg_chambers
2021-06-10 05:00:00	4	5	4.5	15.103	R2_15	egg_chambers
2021-06-10 06:00:00	4	6	4.6	15.127	R2_15	egg_chambers
2021-06-10 07:00:00	4	7	4.7	14.864	R2_15	egg_chambers
2021-06-10 08:00:00	4	8	4.8	15.199	R2_15	egg_chambers
2021-06-10 09:00:00	4	9	4.9	15.509	R2_15	egg_chambers
2021-06-10 10:00:00	4	10	4.10	14.745	R2_15	egg_chambers
2021-06-10 11:00:00	4	11	4.11	15.223	R2_15	egg_chambers
2021-06-10 12:00:00	4	12	4.12	15.055	R2_15	egg_chambers
2021-06-10 13:00:00	4	13	4.13	14.816	R2_15	egg_chambers
2021-06-10 14:00:00	4	14	4.14	15.175	R2_15	egg_chambers
2021-06-10 15:00:00	4	15	4.15	14.553	R2_15	egg_chambers
2021-06-10 16:00:00	4	16	4.16	15.27	R2_15	egg_chambers
2021-06-10 17:00:00	4	17	4.17	14.337	R2_15	egg_chambers
2021-06-10 18:00:00	4	18	4.18	14.96	R2_15	egg_chambers
2021-06-10 19:00:00	4	19	4.19	14.553	R2_15	egg_chambers
2021-06-10 20:00:00	4	20	4.20	14.673	R2_15	egg_chambers
2021-06-10 21:00:00	4	21	4.21	14.912	R2_15	egg_chambers
2021-06-10 22:00:00	4	22	4.22	14.457	R2_15	egg_chambers
2021-06-10 23:00:00	4	23	4.23	15.031	R2_15	egg_chambers
2021-06-11 00:00:00	4	24	4.24	13.978	R2_15	egg_chambers
2021-06-11 01:00:00	5	1	5.1	14.745	R2_15	egg_chambers
2021-06-11 02:00:00	5	2	5.2	15.175	R2_15	egg_chambers
2021-06-11 03:00:00	5	3	5.3	14.337	R2_15	egg_chambers
2021-06-11 04:00:00	5	4	5.4	14.84	R2_15	egg_chambers
2021-06-11 05:00:00	5	5	5.5	15.151	R2_15	egg_chambers
2021-06-11 06:00:00	5	6	5.6	14.361	R2_15	egg_chambers
2021-06-11 07:00:00	5	7	5.7	14.84	R2_15	egg_chambers
2021-06-11 08:00:00	5	8	5.8	15.151	R2_15	egg_chambers
2021-06-11 09:00:00	5	9	5.9	14.577	R2_15	egg_chambers
2021-06-11 10:00:00	5	10	5.10	14.625	R2_15	egg_chambers
2021-06-11 11:00:00	5	11	5.11	15.103	R2_15	egg_chambers
2021-06-11 12:00:00	5	12	5.12	15.055	R2_15	egg_chambers
2021-06-11 13:00:00	5	13	5.13	14.481	R2_15	egg_chambers
2021-06-11 14:00:00	5	14	5.14	15.079	R2_15	egg_chambers
2021-06-11 15:00:00	5	15	5.15	14.673	R2_15	egg_chambers
