animal	sire	dam
006N	YN49_2	YS24_1
006P	YH28_2	YV88_1
006Q	OG35_2	YR31_1
006R	OF56_2	YV88_1
006S	YH28_2	YV88_1
006T	YN49_2	YS24_1
006U	YF30_2	YX21_1
006V	OG51_2	YV88_1
006W	YH28_2	YV88_1
006X	YH28_2	YV88_1
006Y	YF30_2	YV88_1
006Z	YH28_2	YV88_1
007A	YR84_2	YV27_1
007B	OF65_2	OF06_1
007C	YR84_2	YV27_1
007D	YG06_2	YV27_1
007E	OS02_2	YK96_1
007F	YT79_2	YG60_1
007G	OF65_2	OF06_1
007I	OJ25_2	YK96_1
007J	YR84_2	YV27_1
007K	OL28_2	YK83_1
007L	YS90_2	OF06_1
007M	OL26_2	OF06_1
007N	YR54_2	YK96_1
007O	OO53_2	YV27_1
007P	OF65_2	OF06_1
007Q	YR84_2	YV27_1
007R	OL26_2	OF06_1
007S	YT79_2	OF06_1
007T	YR84_2	YV27_1
007U	YR84_2	YV27_1
007V	YT79_2	OF06_1
007W	OG53_2	YK96_1
007Z	OH33_2	OC05_1
008A	YR84_2	YV27_1
008B	YR84_2	YV27_1
008C	OD19_2	YK96_1
008D	OO53_2	YV27_1
008E	OL26_2	OF06_1
008F	OL26_2	OF06_1
008H	YI06_2	OF06_1
008J	OD19_2	YK96_1
008K	YR82_2	YV27_1
008L	YR82_2	YV27_1
008O	OL26_2	YG60_1
008P	OD19_2	YK96_1
008Q	YR82_2	YV27_1
008R	YT79_2	OF06_1
008T	OD19_2	YK96_1
008U	OF65_2	OF06_1
008V	OS02_2	YK96_1
008W	YR84_2	YV27_1
008Y	OL26_2	YG60_1
008Z	YS90_2	OF06_1
009B	OD19_2	YK96_1
009C	YT79_2	YG60_1
009D	YT79_2	YG60_1
009E	OF65_2	YG60_1
009F	OO53_2	YV27_1
009G	YS90_2	OF06_1
009H	YS90_2	YG60_1
009J	YI06_2	YG60_1
009K	YS90_2	OF06_1
009L	OL26_2	YG60_1
