animal	sire	dam
036Y	YV93_2	YS24_1
036Z	YF30_2	YV88_1
037A	YF30_2	YV88_1
037B	YH28_2	YV88_1
037E	YV94_2	OF45_1
037F	YV94_2	OG13_1
037G	YV93_2	YR31_1
037H	OG35_2	YS24_1
037I	OD53_2	YS24_1
037J	YH28_2	YV88_1
037K	YV93_2	YS24_1
037L	YF88_2	YS24_1
037M	YV93_2	YS24_1
037N	YF88_2	YR31_1
037O	OJ16_2	OF45_1
037P	OJ16_2	OF45_1
037Q	YH28_2	YX21_1
037S	YN49_2	YS24_1
037T	YH28_2	YX21_1
037U	YN49_2	YS24_1
037V	OD53_2	YS24_1
037W	YV93_2	YS24_1
037X	YV93_2	YS24_1
037Y	OG35_2	YS24_1
037Z	YL69_2	OF45_1
038A	YH28_2	YV88_1
038B	YN49_2	YR31_1
038C	YV93_2	YR31_1
038D	YF30_2	YV88_1
038E	YV93_2	YR31_1
038F	YF88_2	YR31_1
038G	OG51_2	YV88_1
038H	OG35_2	YS24_1
038I	YN49_2	YR31_1
038J	YF88_2	YS24_1
038L	YV93_2	YS24_1
038M	OD53_2	YS24_1
038N	YN49_2	YR31_1
038O	OD53_2	YS24_1
038P	YF30_2	YX21_1
038Q	OF56_2	YX21_1
038R	OF56_2	YX21_1
038S	OG51_2	YV88_1
038T	YV93_2	YS24_1
038U	OF56_2	YV88_1
038W	YH28_2	YX21_1
038X	OD53_2	YR31_1
038Y	YF30_2	YX21_1
038Z	YN49_2	YR31_1
039A	OS02_2	YK96_1
039C	YS90_2	OF06_1
039D	YT79_2	OF06_1
039E	OF65_2	OF06_1
039F	OL26_2	OF06_1
039G	YS90_2	OF06_1
039I	OH33_2	OC05_1
039J	YR54_2	YK96_1
039K	YR54_2	YK96_1
039L	YT79_2	OF06_1
039M	OH33_2	OC05_1
039N	YT79_2	OF06_1
039O	YR84_2	YV27_1
039P	OF65_2	OF06_1
039Q	OD19_2	YK96_1
039R	OL26_2	OF06_1
039S	OL26_2	OF06_1
039T	OL26_2	OF06_1
039U	YT79_2	YG60_1
039V	YT79_2	OF06_1
039W	YT79_2	OF06_1
039X	OL28_2	YK83_1
039Y	OL26_2	YG60_1
040C	YR54_2	YK96_1
040D	OF65_2	OF06_1
040F	YG06_2	YV27_1
040G	YG06_2	YV27_1
040H	OJ25_2	YK96_1
040I	OD19_2	YK96_1
040J	OH33_2	OC05_1
040K	OF65_2	YG60_1
040L	YG06_2	YV27_1
040O	OL26_2	OF06_1
040Q	YT79_2	OF06_1
040R	YI06_2	OF06_1
040T	YR54_2	YK96_1
040U	YG06_2	YV27_1
040V	YG06_2	YV27_1
040W	YG06_2	YV27_1
040Y	OD19_2	YK96_1
040Z	YT79_2	OF06_1
041B	OH33_2	OC05_1
041D	YT79_2	OF06_1
041F	YR82_2	YV27_1
041G	YT79_2	OF06_1
041H	YN49_2	YR31_1
041I	OL26_2	YG60_1
041J	YR84_2	YV27_1
041K	YR84_2	YV27_1
041L	OO53_2	YV27_1
041O	OD19_2	YK96_1
041P	YR84_2	YV27_1
041Q	OH33_2	OC05_1
041S	YR82_2	YV27_1
041T	YS90_2	YG60_1
041U	YT79_2	OF06_1
041W	YT79_2	OF06_1
041X	OO53_2	YV27_1
041Y	OF65_2	OF06_1
042A	OJ25_2	YK96_1
042B	OO53_2	YV27_1
042C	OF65_2	YG60_1
042D	OO53_2	YV27_1
042G	OD19_2	YK96_1
042H	OH33_2	OC05_1
042I	OD19_2	YK96_1
042J	OD19_2	YK96_1
042K	YG06_2	YV27_1
042L	OD19_2	YK96_1
042M	OD19_2	YK96_1
042P	OH33_2	OC05_1
042Q	OO53_2	YV27_1
042R	YR84_2	YV27_1
042S	OO53_2	YV27_1
042T	OD19_2	YK96_1
042U	YG06_2	YV27_1
042V	OH33_2	OC05_1
042W	OL26_2	OF06_1
042X	YT79_2	OF06_1
042Y	OL26_2	OF06_1
042Z	YR54_2	YK96_1
043A	OL28_2	YK83_1
043B	YD22_2	YP37_1
043C	YI44_2	YK83_1
043D	YD22_2	YP37_1
043E	YX56_2	YP37_1
043F	OD43_2	OF09_1
043H	OD43_2	OF09_1
043I	YD22_2	YP37_1
043J	YD98_2	OF09_1
043K	YD98_2	OF09_1
043L	YD98_2	OF09_1
043M	YD98_2	YK83_1
043N	OL28_2	OF09_1
043O	YD22_2	YP37_1
043P	OL28_2	OF09_1
043Q	OH33_2	YP37_1
043R	YD53_2	OF09_1
043S	OL28_2	OF09_1
043T	YD22_2	YP37_1
043U	YD98_2	OF09_1
043V	YD98_2	OF09_1
043W	OD43_2	OF09_1
043X	OD43_2	OF09_1
043Y	OH33_2	YP37_1
043Z	YD22_2	YP37_1
044A	OD43_2	YK83_1
044B	OL28_2	OF09_1
044D	YA99_2	YL85_1
044E	YD22_2	YP37_1
044F	YD98_2	OF09_1
044G	YD22_2	YP37_1
044I	OL28_2	OF09_1
044J	YD98_2	YK83_1
044L	YI44_2	OF09_1
044M	OG61_2	YL85_1
044N	OG61_2	YL85_1
044O	YG95_2	YL85_1
044Q	OV17_2	YP37_1
044R	OL28_2	YK83_1
044S	OL28_2	OF09_1
044T	YI44_2	YK83_1
044V	OL28_2	OF09_1
044W	OL28_2	YK83_1
044X	YD98_2	OF09_1
044Y	OD43_2	YK83_1
044Z	YD22_2	YP37_1
045A	YI44_2	OF09_1
045B	OV17_2	YP37_1
045C	YD53_2	YK83_1
045D	YD53_2	YK83_1
045E	YD22_2	YP37_1
045F	OH33_2	YP37_1
045G	YI44_2	OF09_1
045H	YD22_2	YP37_1
045I	YD98_2	OF09_1
045K	YD98_2	OF09_1
045L	OD51_2	YN45_1
045M	OD43_2	YK83_1
045N	OV17_2	YP37_1
045O	YX56_2	YP37_1
045Q	OD51_2	YL85_1
045R	YD22_2	YP37_1
045S	YD22_2	YP37_1
045T	YI44_2	OF09_1
045U	YD98_2	YK83_1
045V	OD43_2	OF09_1
045W	YD98_2	YK83_1
045X	YI44_2	OF09_1
045Y	OL28_2	OF09_1
046A	YD98_2	OF09_1
046B	YI44_2	OF09_1
046C	YD98_2	OF09_1
046E	YX56_2	YP37_1
046F	YD98_2	OF09_1
046G	YI44_2	OF09_1
046H	OV17_2	YP37_1
046I	OD43_2	YK83_1
046J	YD98_2	OF09_1
046K	OG61_2	YN45_1
046L	YG95_2	YL85_1
046M	YX56_2	YP37_1
046N	OV17_2	YP37_1
046O	YD53_2	OF09_1
046P	YD53_2	YK83_1
046R	OL28_2	OF09_1
046S	YD98_2	OF09_1
046U	YI44_2	OF09_1
046V	OD43_2	YK83_1
046W	YD98_2	OF09_1
046Y	OL28_2	YK83_1
046Z	OL28_2	OF09_1
047B	OH34_2	OF45_1
047C	YO66_2	OC52_1
047D	YN92_2	YJ60_1
047E	OC64_2	YJ60_1
047F	YG88_2	OC52_1
047H	OC64_2	YJ60_1
047I	OC64_2	YG81_1
047J	OS12_2	YG81_1
047K	YT35_2	OC50_1
047L	YG88_2	OC52_1
047M	YO96_2	YJ60_1
047N	YG97_2	YJ60_1
047O	OH34_2	OG13_1
047P	YO96_2	YG81_1
047Q	YO65_2	OS14_1
047R	YG97_2	YJ60_1
047S	YG88_2	YX87_1
047T	YG97_2	YJ60_1
047U	OH34_2	OF45_1
047V	YO65_2	OC52_1
047W	YG88_2	YX87_1
047X	YJ88_2	YT86_1
047Y	YG97_2	YJ60_1
047Z	OC64_2	YG81_1
048A	OC64_2	YJ60_1
048B	OS12_2	YG81_1
048C	OC64_2	YG81_1
048D	YO96_2	YG81_1
048E	YG88_2	YX87_1
048F	YO65_2	OC52_1
048G	YO96_2	YG81_1
048H	YG88_2	OC52_1
048I	OH34_2	OF45_1
048J	OC64_2	YG81_1
048K	OC64_2	YG81_1
048L	OH34_2	OG13_1
048M	OC64_2	YJ60_1
048N	YJ48_2	OG13_1
048O	OC64_2	YJ60_1
048P	YG88_2	OC52_1
048Q	YG88_2	OC52_1
048R	YO96_2	YJ60_1
048S	YG97_2	YG81_1
048T	YG88_2	OC52_1
048U	YG97_2	YG81_1
048V	YG88_2	YX87_1
048W	OH34_2	OF45_1
048X	OH34_2	OG13_1
048Y	OG58_2	YX87_1
048Z	YO65_2	YX87_1
049A	OS12_2	YG81_1
049B	OG59_2	YT86_1
049C	YO99_2	YT86_1
049D	OH34_2	OG13_1
049E	YJ48_2	OG13_1
049F	OS12_2	YG81_1
049G	YG97_2	YJ60_1
049H	YG88_2	OC52_1
049I	YG96_2	YT86_1
049J	YG96_2	YT86_1
049K	YO96_2	YJ60_1
049L	YG88_2	YX87_1
049M	OC64_2	YJ60_1
049N	YO65_2	YX87_1
049O	YG97_2	YJ60_1
049P	OG59_2	YT86_1
049Q	OG58_2	OC52_1
049R	YO65_2	OC52_1
049S	OS12_2	YG81_1
049T	YN92_2	YJ60_1
049U	OC64_2	YJ60_1
049V	YG88_2	OC52_1
049W	OS12_2	YJ60_1
049X	OC64_2	YG81_1
049Y	OS12_2	YJ60_1
049Z	YN92_2	YJ60_1
050A	OS12_2	YJ60_1
050B	YO65_2	OC52_1
050C	OS12_2	YJ60_1
050D	YG97_2	YG81_1
050E	YG97_2	YJ60_1
050F	OC64_2	YG81_1
050G	YJ48_2	OG13_1
050H	YO65_2	OC52_1
050I	YO66_2	YX87_1
050J	OC64_2	YG81_1
050K	OH34_2	OF45_1
050L	YO65_2	OC52_1
050M	OH34_2	OG13_1
050N	OH34_2	OG13_1
050O	OS12_2	YJ60_1
050P	YJ69_2	OC52_1
050Q	YG88_2	OC52_1
050R	OC64_2	YG81_1
050S	OH34_2	OG13_1
050T	YO96_2	YJ60_1
050U	YG97_2	YG81_1
050V	OC64_2	YJ60_1
050X	YG97_2	YJ60_1
050Y	OC64_2	YG81_1
050Z	YJ88_2	YT86_1
051A	OJ16_2	OG13_1
051B	OF56_2	YV88_1
051C	YN49_2	YS24_1
051D	YL69_2	OG13_1
051E	YF88_2	YR31_1
051F	YN49_2	YR31_1
051G	YV93_2	YR31_1
051H	OJ16_2	OG13_1
051I	OG51_2	YX21_1
051J	OF56_2	YV88_1
051K	OD53_2	YR31_1
051L	OD53_2	YS24_1
051M	OD53_2	YR31_1
051N	OD53_2	YR31_1
051O	OG35_2	YS24_1
051P	OJ16_2	OF45_1
051Q	OF56_2	YX21_1
051R	YH28_2	YX21_1
051S	OG35_2	YS24_1
051T	YH28_2	YX21_1
051U	OF56_2	YX21_1
051V	OG35_2	YR31_1
051W	YH28_2	YX21_1
051X	OG51_2	YV88_1
051Y	OF56_2	YV88_1
051Z	YV93_2	YR31_1
052B	OJ16_2	OF45_1
052C	YV94_2	OG13_1
052D	YF30_2	YX21_1
052E	OJ16_2	OG13_1
052F	YN49_2	YR31_1
052G	YV94_2	OF45_1
052H	OD53_2	YR31_1
052J	OG35_2	YR31_1
052K	YV94_2	OG13_1
052L	YV93_2	YR31_1
052N	YL69_2	OG13_1
052O	OF56_2	YV88_1
052P	YN49_2	YS24_1
052Q	YV94_2	OG13_1
052R	YL69_2	OF45_1
052S	YV93_2	YR31_1
052T	OG35_2	YS24_1
052U	OG35_2	YS24_1
052V	YV94_2	OF45_1
052W	OD53_2	YR31_1
052X	YH28_2	YV88_1
052Y	YH28_2	YV88_1
052Z	OF56_2	YV88_1
053A	YV94_2	OF45_1
053B	YH28_2	YV88_1
053C	OG51_2	YV88_1
053D	YF30_2	YX21_1
053E	YV94_2	OG13_1
053G	YL69_2	OF45_1
053H	OG35_2	YR31_1
053I	OF56_2	YX21_1
053J	OD53_2	YS24_1
053K	YH28_2	YV88_1
053L	YL69_2	OF45_1
053M	YF30_2	YX21_1
053N	YH28_2	YV88_1
053O	YV93_2	YS24_1
053P	OG51_2	YV88_1
053Q	YL69_2	OF45_1
053R	OG35_2	YS24_1
053S	OG51_2	YV88_1
053T	YV94_2	OF45_1
053U	YV93_2	YS24_1
053V	YN49_2	YR31_1
053W	YH28_2	YV88_1
053X	OF56_2	YV88_1
053Y	YF88_2	YS24_1
053Z	OF56_2	YV88_1
054A	OF56_2	YX21_1
054B	YH28_2	YX21_1
054C	YH28_2	YV88_1
054D	YV93_2	YS24_1
054E	YF30_2	YX21_1
054F	OG51_2	YV88_1
054H	OG51_2	YV88_1
054I	YV93_2	YS24_1
054K	YV93_2	YS24_1
054L	OJ16_2	OG13_1
054M	YF30_2	YX21_1
054N	YL69_2	OF45_1
054O	YF30_2	YV88_1
054P	YF30_2	YX21_1
054Q	YV93_2	YR31_1
054R	YV93_2	YR31_1
054S	YH28_2	YV88_1
054T	YV94_2	OG13_1
054U	YV93_2	YS24_1
054Y	OJ16_2	OF45_1
054Z	YF88_2	YR31_1
055A	OF65_2	OF06_1
055B	YT79_2	OF06_1
055C	YS90_2	OF06_1
055D	YR82_2	YV27_1
055E	OF65_2	OF06_1
055F	YR84_2	YV27_1
055G	YR84_2	YV27_1
055I	YT79_2	OF06_1
055J	YR54_2	YK96_1
055N	OG53_2	YK96_1
055O	YS90_2	OF06_1
055P	OF65_2	OF06_1
055Q	OH33_2	OC05_1
055R	OD19_2	YK96_1
055S	YR54_2	YK96_1
055T	YI06_2	OF06_1
055V	OL26_2	OF06_1
055W	OD53_2	YR31_1
055X	YS90_2	OF06_1
055Y	OL26_2	OF06_1
055Z	YI06_2	OF06_1
056A	OD19_2	YK96_1
056B	YG06_2	YV27_1
056C	OO53_2	YV27_1
056D	YS90_2	YG60_1
056F	OO53_2	YV27_1
056G	YI06_2	OF06_1
056H	OH33_2	OC05_1
056I	OJ25_2	YK96_1
056J	OO53_2	YV27_1
056K	YR54_2	YK96_1
056L	YG06_2	YV27_1
056M	YR54_2	YK96_1
056N	OD19_2	YK96_1
056O	OL26_2	YG60_1
056P	OF65_2	OF06_1
056Q	OJ25_2	YK96_1
056S	OD19_2	YK96_1
056T	YT79_2	YG60_1
056U	YI06_2	YG60_1
056V	YR54_2	YK96_1
056W	OD19_2	YK96_1
056Y	OD19_2	YK96_1
056Z	OH33_2	OC05_1
057A	OG53_2	YK96_1
057B	YS90_2	YG60_1
057C	YR84_2	YV27_1
057D	YI06_2	OF06_1
057E	YI06_2	OF06_1
057F	YI06_2	OF06_1
057G	YT79_2	OF06_1
057H	OL26_2	OF06_1
057J	OO53_2	YV27_1
057K	OF65_2	OF06_1
057N	YT79_2	OF06_1
057O	OJ25_2	YK96_1
057P	YS90_2	OF06_1
057Q	OO53_2	YV27_1
057R	OO53_2	YV27_1
057S	OL26_2	YG60_1
057T	YT79_2	OF06_1
057U	YG06_2	YV27_1
057V	OD43_2	OF09_1
057X	OO53_2	YV27_1
057Y	YT79_2	OF06_1
058A	YR54_2	YK96_1
058B	YS90_2	OF06_1
058C	OO53_2	YV27_1
058D	OO53_2	YV27_1
058E	YI06_2	OF06_1
058H	OO53_2	YV27_1
058I	YR84_2	YV27_1
058L	YS90_2	OF06_1
058M	OL26_2	OF06_1
058N	YR82_2	YV27_1
058O	YT79_2	OF06_1
058P	YS90_2	OF06_1
058Q	YR82_2	YV27_1
058R	YS90_2	OF06_1
058T	YI06_2	YG60_1
058V	YR84_2	YV27_1
058W	YG06_2	YV27_1
058X	OD19_2	YK96_1
058Z	YR82_2	YV27_1
059A	OD43_2	OF09_1
059B	YD98_2	YK83_1
059C	OH33_2	YP37_1
059E	OD43_2	OF09_1
059F	OL28_2	OF09_1
059G	YD98_2	OF09_1
059H	OH33_2	YP37_1
059I	YD98_2	OF09_1
059J	OH33_2	YP37_1
059K	YD22_2	YP37_1
059L	YD98_2	OF09_1
059N	YD98_2	OF09_1
059P	OD43_2	YK83_1
059Q	YD22_2	YP37_1
059R	OV17_2	YP37_1
059S	YD98_2	YK83_1
059T	YD98_2	OF09_1
059U	YI44_2	YK83_1
059V	YD98_2	OF09_1
059W	OH33_2	YP37_1
059X	YD98_2	OF09_1
059Y	YD22_2	YP37_1
059Z	YD98_2	OF09_1
060A	OD43_2	OF09_1
060B	OD43_2	OF09_1
060C	OL28_2	OF09_1
060E	YX56_2	YP37_1
060F	YX56_2	YP37_1
060G	OD43_2	OF09_1
060H	YI44_2	OF09_1
060I	YD98_2	OF09_1
060J	YI44_2	OF09_1
060K	YD22_2	YP37_1
060N	YI44_2	YK83_1
060P	YD53_2	OF09_1
060Q	YI44_2	YK83_1
060R	OL28_2	YK83_1
060T	YG95_2	YL85_1
060V	OL28_2	OF09_1
060W	YD53_2	YK83_1
060Y	YI44_2	OF09_1
060Z	YD53_2	YK83_1
061A	YI44_2	OF09_1
061B	YD98_2	OF09_1
061E	YI44_2	OF09_1
061G	YI44_2	OF09_1
061H	YD53_2	OF09_1
061J	YD53_2	YK83_1
061K	YD98_2	YK83_1
061L	YD22_2	YP37_1
061N	OL28_2	OF09_1
061O	YD22_2	YP37_1
061P	OL28_2	OF09_1
061Q	YA99_2	YL85_1
061R	YX56_2	YP37_1
061T	YX56_2	YP37_1
061U	YD98_2	YK83_1
061V	YD22_2	YP37_1
061X	YD98_2	YK83_1
061Y	OH33_2	YP37_1
062A	OD43_2	OF09_1
062B	YD53_2	YK83_1
062C	OD51_2	YL85_1
062D	YD53_2	YK83_1
062E	OL28_2	OF09_1
062F	OL28_2	OF09_1
062G	YD98_2	OF09_1
062H	YD98_2	OF09_1
062I	OH33_2	YP37_1
062J	OV17_2	YP37_1
062K	OH33_2	YP37_1
062L	OD43_2	YK83_1
062M	OD43_2	OF09_1
062N	YD53_2	YK83_1
062O	OL28_2	YK83_1
062Q	YD98_2	OF09_1
062R	OD51_2	YL85_1
062S	YA99_2	YN45_1
062T	OD43_2	OF09_1
062U	YX56_2	YP37_1
062V	YD53_2	OF09_1
062W	YI44_2	YK83_1
062Y	YD22_2	YP37_1
063A	OG35_2	YS24_1
063B	YN49_2	YR31_1
063C	YH28_2	YX21_1
063D	OD53_2	YS24_1
063E	YH28_2	YV88_1
063F	YN49_2	YR31_1
063H	YV93_2	YS24_1
063I	YL69_2	OG13_1
063J	OG35_2	YR31_1
063K	YH28_2	YV88_1
063L	YV93_2	YR31_1
063M	OD53_2	YS24_1
063N	YV94_2	OF45_1
063O	YV93_2	YS24_1
063P	YV94_2	OG13_1
063Q	YV93_2	YR31_1
063R	OJ16_2	OF45_1
063S	YF88_2	YR31_1
063T	YL69_2	OG13_1
063U	OG51_2	YV88_1
063W	YV93_2	YS24_1
063X	OG51_2	YV88_1
063Z	YV93_2	YS24_1
064A	OG51_2	YV88_1
064B	OG35_2	YR31_1
064D	YF88_2	YR31_1
064F	OG35_2	YR31_1
064G	YH28_2	YV88_1
064H	YH28_2	YV88_1
064I	YV93_2	YS24_1
064J	OG35_2	YS24_1
064K	OD53_2	YR31_1
064L	OF56_2	YX21_1
064M	OG51_2	YV88_1
064N	OF56_2	YV88_1
064O	OF56_2	YV88_1
064P	YV94_2	OG13_1
064Q	OG35_2	YR31_1
064R	OG51_2	YX21_1
064S	OG35_2	YR31_1
064T	OG35_2	YS24_1
064U	YV94_2	OF45_1
064V	OF56_2	YV88_1
064W	OF56_2	YV88_1
064X	YV93_2	YS24_1
064Y	YL69_2	OG13_1
064Z	YV93_2	YR31_1
065A	YG88_2	OC52_1
065B	YG97_2	YJ60_1
065C	OG35_2	YS24_1
065D	OC64_2	YG81_1
065E	YO96_2	YG81_1
065F	YG96_2	YT86_1
065G	YO96_2	YJ60_1
065H	OG58_2	OC52_1
065I	OC64_2	YJ60_1
065J	OC64_2	YJ60_1
065L	YG88_2	OC52_1
065M	OG59_2	YT86_1
065N	YO66_2	OC52_1
065O	YO96_2	YJ60_1
065P	YG97_2	YJ60_1
065Q	OH34_2	OF45_1
065R	YG97_2	YJ60_1
065S	YJ48_2	OG13_1
065T	YG88_2	YX87_1
065U	YG88_2	OC52_1
065V	OG59_2	YT86_1
065W	YG96_2	YT86_1
065X	OH34_2	OG13_1
065Y	OS12_2	YG81_1
066A	OG59_2	YT86_1
066B	YN58_2	OS14_1
066C	OD42_2	OS14_1
066D	YO96_2	YG81_1
066E	YO99_2	YT86_1
066F	OS12_2	YJ60_1
066G	YG97_2	YJ60_1
066H	OD42_2	YS77_1
066I	OH34_2	OG13_1
066J	YG97_2	YJ60_1
066K	YO96_2	YJ60_1
066L	YG97_2	YG81_1
066M	OS12_2	YJ60_1
066N	OS12_2	YG81_1
066O	OS12_2	YJ60_1
066P	OH34_2	OG13_1
066Q	YO65_2	YX87_1
066R	OS12_2	YJ60_1
066S	YO65_2	OC52_1
066T	YG96_2	YT86_1
066U	YG97_2	YJ60_1
066V	OH34_2	OG13_1
066W	OH34_2	OG13_1
066X	YO96_2	YG81_1
066Y	YO96_2	YJ60_1
066Z	YO65_2	OC52_1
067A	OC64_2	YJ60_1
067B	YG88_2	YX87_1
067C	YJ48_2	OF45_1
067D	OH34_2	OF45_1
067E	YJ48_2	OG13_1
067F	YJ48_2	OG13_1
067G	YO65_2	YX87_1
067H	YJ88_2	YT86_1
067I	YO96_2	YG81_1
067J	OS12_2	YG81_1
067L	YO65_2	YX87_1
067M	YO65_2	OC52_1
067N	OD42_2	OS14_1
067O	YG97_2	YG81_1
067P	YG88_2	YX87_1
067Q	YG88_2	OC52_1
067R	OC64_2	YJ60_1
067S	OC64_2	YJ60_1
067T	YG96_2	YT86_1
067U	OC64_2	YJ60_1
067W	YO96_2	YJ60_1
067X	YO99_2	YT86_1
067Y	OS12_2	YG81_1
067Z	YG96_2	YT86_1
068A	YN58_2	YS77_1
068B	YJ88_2	YT86_1
068C	YO65_2	OC52_1
068D	YJ69_2	OC52_1
068E	OS12_2	YG81_1
068F	YO65_2	OC52_1
068G	YG97_2	YJ60_1
068H	YG88_2	YX87_1
068I	OS12_2	YJ60_1
068J	YJ48_2	OG13_1
068K	OS12_2	YG81_1
068L	YG88_2	YX87_1
068M	OS12_2	YJ60_1
068N	OS12_2	YJ60_1
068O	OS12_2	YG81_1
068P	YJ48_2	OF45_1
068Q	OG59_2	YT86_1
068R	YO65_2	OC52_1
068S	YO96_2	YG81_1
068U	YG88_2	OC52_1
068V	OH34_2	OG13_1
068W	YJ69_2	YX87_1
068X	OS12_2	YJ60_1
068Y	OH34_2	OF45_1
068Z	OS12_2	YG81_1
069A	OG35_2	YS24_1
069B	YH28_2	YX21_1
069C	YV94_2	OF45_1
069E	YV93_2	YS24_1
069F	YF88_2	YS24_1
069G	YF88_2	YS24_1
069H	YV93_2	YR31_1
069I	OG58_2	YX87_1
069J	OF56_2	YX21_1
069K	YN49_2	YS24_1
069L	OF56_2	YX21_1
069M	YF88_2	YS24_1
069N	YH28_2	YV88_1
069O	YL69_2	OF45_1
069P	YV93_2	YS24_1
069Q	OG35_2	YR31_1
069R	OF56_2	YV88_1
069S	YF30_2	YX21_1
069T	YF88_2	YS24_1
069U	YF30_2	YX21_1
069V	OG51_2	YV88_1
069W	OG51_2	YX21_1
069X	YH28_2	YV88_1
069Y	YH28_2	YV88_1
069Z	YV94_2	OG13_1
070A	YL69_2	OG13_1
070B	YV94_2	OF45_1
070C	YV94_2	OF45_1
070D	YF30_2	YX21_1
070E	YV93_2	YR31_1
070F	YH28_2	YX21_1
070G	OG51_2	YX21_1
070H	YH28_2	YV88_1
070I	YV93_2	YS24_1
070J	YF30_2	YX21_1
070K	YV94_2	OF45_1
070L	YV94_2	OF45_1
070M	OF56_2	YV88_1
070N	OG51_2	YV88_1
070P	YV94_2	OG13_1
070Q	YV93_2	YR31_1
070R	YL69_2	OF45_1
070S	YF88_2	YS24_1
070T	YV94_2	OF45_1
070U	YF88_2	YR31_1
070V	OF56_2	YV88_1
070W	OD53_2	YR31_1
070X	OG51_2	YV88_1
070Y	YL69_2	OF45_1
070Z	YV94_2	OF45_1
071A	YF30_2	YX21_1
071B	OJ16_2	OF45_1
071C	YV93_2	YS24_1
071D	YL69_2	OF45_1
071E	YV93_2	YR31_1
071F	YN49_2	YS24_1
071G	YN49_2	YS24_1
071H	OG51_2	YX21_1
071I	YH28_2	YV88_1
071J	OG51_2	YV88_1
071K	OG35_2	YR31_1
071L	YN49_2	YR31_1
071M	YF88_2	YR31_1
071N	OG51_2	YX21_1
071O	YV94_2	OF45_1
071P	OG51_2	YV88_1
071Q	YF88_2	YR31_1
071R	YH28_2	YV88_1
071S	YL69_2	OF45_1
071U	YG06_2	YV27_1
071V	YH28_2	YX21_1
071W	OF56_2	YV88_1
071X	YF30_2	YX21_1
071Y	YF88_2	YS24_1
071Z	YF88_2	YS24_1
072A	YV94_2	OF45_1
072B	OG51_2	YV88_1
072D	OJ16_2	OF45_1
072F	YV94_2	OG13_1
072G	OG35_2	YR31_1
072H	YV93_2	YS24_1
072I	YL69_2	OF45_1
072J	YV94_2	OF45_1
072K	YV94_2	OG13_1
072L	YH28_2	YV88_1
072M	OG51_2	YX21_1
072N	YF30_2	YX21_1
072O	YH28_2	YV88_1
072P	YL69_2	OG13_1
072Q	YV93_2	YS24_1
072R	YF30_2	YX21_1
072S	YH28_2	YV88_1
072T	YV93_2	YS24_1
072U	YV94_2	OG13_1
072V	YF30_2	YV88_1
072W	YV93_2	YR31_1
072X	YH28_2	YX21_1
072Y	OG51_2	YX21_1
072Z	YF30_2	YX21_1
073B	OF65_2	OF06_1
073E	OF65_2	OF06_1
073F	OD19_2	YK96_1
073G	YS90_2	YG60_1
073H	OH33_2	OC05_1
073K	YG06_2	YV27_1
073L	OD19_2	YK96_1
073N	OG53_2	YK96_1
073O	YI06_2	OF06_1
073P	OL26_2	OF06_1
073Q	YT79_2	OF06_1
073R	YT79_2	OF06_1
073T	YR84_2	YV27_1
073U	OF65_2	OF06_1
073V	YI06_2	YG60_1
073W	YR84_2	YV27_1
073X	OG53_2	YK96_1
073Y	OS02_2	YK96_1
074C	OL26_2	OF06_1
074D	OO53_2	YV27_1
074E	YT79_2	YG60_1
074F	YR84_2	YV27_1
074G	OH33_2	OC05_1
074H	OO53_2	YV27_1
074I	YT79_2	OF06_1
074K	OD19_2	YK96_1
074N	YG06_2	YV27_1
074P	OJ25_2	YK96_1
074R	YG06_2	YV27_1
074T	OL26_2	OF06_1
074U	OS02_2	YK96_1
074V	YS90_2	OF06_1
074W	YS90_2	OF06_1
074Y	YG06_2	YV27_1
074Z	YR54_2	YK96_1
075A	YS90_2	YG60_1
075B	OF56_2	YV88_1
075D	YI06_2	OF06_1
075E	OF65_2	YG60_1
075F	YT79_2	OF06_1
075H	OF65_2	OF06_1
075I	YR82_2	YV27_1
075K	OL26_2	YG60_1
075L	OF65_2	OF06_1
075M	OH33_2	OC05_1
075N	YG06_2	YV27_1
075O	YG06_2	YV27_1
075P	YG06_2	YV27_1
075Q	YR82_2	YV27_1
075S	OD19_2	YK96_1
075T	OG53_2	YK96_1
075U	YI06_2	OF06_1
075V	OD19_2	YK96_1
075W	YG06_2	YV27_1
075Y	OO53_2	YV27_1
076A	OJ25_2	YK96_1
076B	YR54_2	YK96_1
076C	OO53_2	YV27_1
076D	OF65_2	OF06_1
076E	YT79_2	OF06_1
076G	YR82_2	YV27_1
076H	OF65_2	YG60_1
076J	YT79_2	OF06_1
076K	OH33_2	OC05_1
076L	YG06_2	YV27_1
076M	OF65_2	OF06_1
076N	OO53_2	YV27_1
076O	YS90_2	OF06_1
076P	OJ25_2	YK96_1
076S	YG06_2	YV27_1
076V	YT79_2	OF06_1
076W	OG53_2	YK96_1
076X	OO53_2	YV27_1
076Y	YR84_2	YV27_1
076Z	OD19_2	YK96_1
077A	YD98_2	OF09_1
077B	YD98_2	OF09_1
077C	YI44_2	YK83_1
077D	YA99_2	YL85_1
077E	YD98_2	OF09_1
077F	OD43_2	YK83_1
077G	YD98_2	YK83_1
077H	OD43_2	YK83_1
077I	YD98_2	OF09_1
077J	YD98_2	OF09_1
077L	YG95_2	YL85_1
077M	YD53_2	YK83_1
077N	YD98_2	OF09_1
077O	YX56_2	YP37_1
077P	YD98_2	OF09_1
