animal	MOTHER	FATHER
V50_1	YV55	YF87
W51_1	OD28	YT91
W52_1	OD28	OF32
W53_1	OD28	OH51
W54_1	OD28	OH14
W55_1	OD28	OK28
X51_1	YP89	YT91
X52_1	YP89	OF32
X53_1	YP89	OH51
X54_1	YP89	OH14
X55_1	YP89	OK28
Y56_1	OF90	YF91
Y57_1	OF90	YC14
Y58_1	OF90	YT65
Y59_1	OF90	OF31
Y60_1	OF90	OH74
Z56_1	OD29	YF91
Z57_1	OD29	YC14
Z58_1	OD29	YT65
Z59_1	OD29	OF31
Z60_1	OD29	OH74
A1_2	YV17	OL32
A2_2	YV17	OL23
A3_2	YV17	YL42
A4_2	YV17	YS95
A5_2	YV17	OG53
B1_2	YO04	OL32
B2_2	YO04	OL23
B3_2	YO04	YL42
B4_2	YO04	YS95
B5_2	YO04	OG53
C6_2	OF68	YJ46
C7_2	OF68	OK26
C8_2	OF68	YK98
C9_2	OF68	OL41
C10_2	OF68	YN97
D6_2	YK63	YJ46
D7_2	YK63	OK26
D8_2	YK63	YK98
D9_2	YK63	OL41
D10_2	YK63	YN97
E11_2	YP36	YI88
E12_2	YP36	OL47
E13_2	YP36	YK87
E14_2	YP36	YK86
E15_2	YP36	OK20
F11_2	YN90	YI88
F12_2	YN90	OL47
F13_2	YN90	YK87
F14_2	YN90	YK86
F15_2	YN90	OK20
G16_2	OA40	YD35
G17_2	OA40	YV40
G18_2	OA40	YV69
G19_2	OA40	OC15
G20_2	OA40	YX40
H16_2	YN63	YD35
H17_2	YN63	YV40
H18_2	YN63	YV69
H20_2	YN63	YV40
I16_2	YP22	YD35
I17_2	YP22	YV40
I18_2	YP22	YV69
I20_2	YP22	YV40
J21_2	YD75	YV92
J22_2	YD75	OB18
J23_2	YD75	OL61
J24_2	YD75	OC14
K21_2	YG27	YV92
K22_2	YG27	OB18
K23_2	YG27	OL61
L21_2	YJ26	YV92
L22_2	YJ26	OB18
L23_2	YJ26	OL61
S41_2	YO81	YK91
S42_2	YO81	YP72
S43_2	YO81	YP93
S44_2	YO81	YP92
S45_2	YO81	OB18
T41_2	YG86	YK91
T42_2	YG86	YP72
T43_2	YG86	YP93
T44_2	YG86	YP92
T45_2	YG86	OB18
M25_2	YP64	RZ65
M26_2	YP64	RZ22
M27_2	YP64	RZ58
M28_2	YP64	RZ21
M29_2	YP64	RZ76
N25_2	YL01	RZ65
N26_2	YL01	RZ22
N27_2	YL01	RZ58
N28_2	YL01	RZ21
N29_2	YL01	RZ76
O30_2	YN88	RZ30
O31_2	YN88	RZ61
O32_2	YN88	RZ18
O33_2	YN88	RZ63
O34_2	YN88	RZ27
P30_2	YO62	RZ30
P31_2	YO62	RZ61
P32_2	YO62	RZ18
P33_2	YO62	RZ63
P34_2	YO62	RZ27
Q35_2	YP91	RZ55
Q36_2	YP91	RZ63
Q37_2	YP91	RZ44
Q38_2	YP91	RZ00
